a_x,a_y,a_z,TimeMillisecond 
0.0,0.0,0.0,1684832752396
0.0052061677,0.035767995,0.0019407272,1684832752635
-0.025610924,-0.050149478,0.008257866,1684832752835
-0.0033188462,0.010282479,0.004289627,1684832753034
-0.0034071803,0.011453956,0.00564003,1684832753234
0.010468841,0.0052808225,-0.001364708,1684832753435
0.014118969,7.223338E-5,0.0035886765,1684832753635
-0.0059980154,0.007937711,0.002366066,1684832753835
-0.024954498,0.016501676,0.0025396347,1684832754035
-0.018352807,0.015616866,3.8051605E-4,1684832754234
-0.010825813,0.010794915,0.0023851395,1684832754434
-0.010396659,0.011260141,0.0016374588,1684832754634
-0.006481588,0.01091871,-9.346008E-5,1684832754834
-0.011094093,0.010068726,7.343292E-5,1684832755034
-0.003396511,0.010485059,0.002067566,1684832755234
-0.008477807,0.0072416887,0.0027608871,1684832755433
-0.009945571,0.008607391,2.7656555E-5,1684832755634
-0.0058142543,0.008237559,-0.0024328232,1684832755834
-0.011720896,0.0060603395,0.0022974014,1684832756033
-0.0018069148,0.010384252,3.862381E-4,1684832756233
-0.010802627,0.0100308545,0.0010404587,1684832756433
-0.006308496,0.007850802,-0.0017299652,1684832756634
-0.011969775,0.009618655,8.7833405E-4,1684832756832
8.557439E-4,0.009160269,6.389618E-5,1684832757032
-0.008664906,0.0066084303,-4.339218E-4,1684832757232
-0.01473695,0.007777082,0.0011339188,1684832757432
6.503463E-4,0.0095167905,8.878708E-4,1684832757632
-0.012633741,0.0065531544,-0.0011615753,1684832757834
-0.0068868995,0.008129505,0.0012712479,1684832758033
-0.0033022761,0.0088876225,0.0015277863,1684832758233
-0.0094079375,0.0074106324,0.0017442703,1684832758432
0.007867843,0.0084778145,-0.0019598007,1684832758632
0.02777329,0.008968759,0.0011863708,1684832758832
-0.027514279,0.007661648,0.0022468567,1684832759033
-0.016774952,0.015457217,-5.273819E-4,1684832759232
0.10126379,0.064229384,0.0016698837,1684832759432
0.16923274,-0.0418164,-0.013186455,1684832759672
-0.022402696,-0.05108334,0.2613516,1684832759872
-0.24536662,0.0040689036,0.30157375,1684832760070
-0.25393015,0.021878175,-0.07293415,1684832760271
0.086292505,-0.09309289,-0.060154915,1684832760471
-0.1050016,-0.16829538,0.010785103,1684832760671
-0.15729885,-0.042357862,-0.3810234,1684832760872
-0.081154004,0.0065212846,-0.09566021,1684832761072
-0.028723035,0.08196437,-0.2693367,1684832761271
-0.5368293,-0.13467622,-0.51267624,1684832761472
-0.14436379,0.03915155,-0.11908817,1684832761670
-0.36414742,0.090153575,-0.3898096,1684832761870
-0.07855309,0.106740296,-0.07125187,1684832762071
0.6527538,0.15930611,-0.044068336,1684832762270
0.34058666,-0.0019771457,-0.21157646,1684832762470
1.1138971,-0.24836022,0.24531841,1684832762669
-0.0031679273,-0.464281,0.3234787,1684832762870
1.2502953,-0.22008479,-0.08698368,1684832763069
0.11959851,-0.049652696,0.45032692,1684832763269
-0.5430443,-0.9433142,-0.21891785,1684832763469
0.4955565,-0.28996372,-1.0172768,1684832763669
0.6584976,-0.116858244,-0.1527977,1684832763869
0.5081923,0.3864646,-0.14280224,1684832764068
0.17267102,0.39158213,0.9670391,1684832764268
0.61063516,0.4615078,0.42135048,1684832764468
0.1475389,0.48572648,0.8191471,1684832764668
0.58849335,0.2533275,0.3135023,1684832764868
-1.4169148,-0.34541613,0.31963253,1684832765068
0.49409744,-0.64100605,0.12477207,1684832765268
0.050335884,-0.5207586,0.122719765,1684832765467
-0.26964518,0.08299637,-0.0029096603,1684832765668
0.022760734,0.07719946,0.01733303,1684832765870
0.022858605,0.0999701,0.009888649,1684832766068
